district_id,district,year,total,bus,subway,taxi,population,car_count,car_diff_year
0,전체,2021,3020423226,1344157818,1430691108,245574300,9509458,3158710,33377
0,전체,2022,3337293622,1476650050,1620682806,239960766,9428372,3180299,21589
0,전체,2023,3490906740,1524180658,1773502241,193223841,9386034,3191538,11239
0,전체,2024,3651117670,1582835588,1831217498,237064584,9331828,3187776,-3762
1,강남구,2021,263148318,93477395,139523472,30147451,533042,235796,602
1,강남구,2022,293965811,103379977,161272441,29313393,529102,240480,4684
1,강남구,2023,306070238,104997484,175606259,25466495,544873,250445,9965
1,강남구,2024,322927844,111266706,179953430,31707708,557345,256099,5654
2,강동구,2021,87515237,32292610,45671791,9550836,462664,152003,6877
2,강동구,2022,93924693,35194304,49416957,9313432,460067,151875,-128
2,강동구,2023,94011660,35282772,51997375,6731513,459167,153678,1803
2,강동구,2024,102160042,38033929,55794880,8331233,476942,154522,844
3,강북구,2021,88255787,54255008,28068271,5932508,299182,75570,-511
3,강북구,2022,94283492,57994006,30445153,5844333,293660,75148,-422
3,강북구,2023,95421485,59000850,32266378,4154257,288113,75166,18
3,강북구,2024,97599102,60149464,32634332,4815306,283597,74169,-997
4,강서구,2021,125896852,52107668,62794479,10994705,574315,204246,-97
4,강서구,2022,136615826,55871596,69470943,11273287,569166,206352,2106
4,강서구,2023,141725103,57398643,75470439,8856021,563058,206104,-248
4,강서구,2024,147998353,58712738,78419782,10865833,556171,204600,-1504
5,관악구,2021,166188364,81960533,75428105,8799726,485699,118943,-509
5,관악구,2022,183319578,90076319,84916033,8327226,486752,118148,-795
5,관악구,2023,186640714,89284855,90767121,6588738,481956,118886,738
5,관악구,2024,191528043,91648849,92102308,7776886,477812,117936,-950
6,광진구,2021,95731490,29859594,56633974,9237922,339996,98658,-114
6,광진구,2022,107246102,33234902,64860255,9150945,337416,99126,468
6,광진구,2023,111528164,34809718,69506034,7212412,335554,97936,-1190
6,광진구,2024,115686552,36851896,70329994,8504662,331963,97218,-718
7,구로구,2021,123387880,60237240,56036771,7113869,396754,144667,906
7,구로구,2022,127504110,61042525,59580422,6881163,395315,146040,1373
7,구로구,2023,131422494,62850315,63065182,5506997,392405,148719,2679
7,구로구,2024,134451191,64242239,63648432,6560520,388169,147678,-1041
8,금천구,2021,66752284,42139004,19830665,4782615,230811,88945,1497
8,금천구,2022,70056965,45064854,20465940,4526171,229642,90508,1563
8,금천구,2023,71105776,46171676,21372019,3562081,227481,92223,1715
8,금천구,2024,71518788,45829736,21506116,4182936,225159,91975,-248
9,노원구,2021,108740071,46165813,52909026,9665232,510956,152701,533
9,노원구,2022,117486557,50579231,57264326,9643000,503734,152305,-396
9,노원구,2023,119823856,51726460,61347921,6749475,498213,152633,328
9,노원구,2024,127177261,53541282,65760380,7875599,491247,152155,-478
10,도봉구,2021,67739876,37019485,25198610,5521781,317366,95462,-389
10,도봉구,2022,71242195,38900295,26987249,5354651,311694,95573,111
10,도봉구,2023,71661572,39783107,28321911,3556554,306948,95623,50
10,도봉구,2024,74280229,40702065,29260920,4317244,303228,94946,-677
11,동대문구,2021,97942712,57791744,31218408,8932560,337400,98170,352
11,동대문구,2022,106610793,63284045,34854710,8472038,336644,98574,404
11,동대문구,2023,111611079,67437050,37821239,6352790,341149,99947,1373
11,동대문구,2024,117287598,70686857,39182683,7418058,338735,102749,2802
12,동작구,2021,109377406,58188663,45706535,5482208,385483,105722,653
12,동작구,2022,119187672,62588194,51528199,5071279,380596,106263,541
12,동작구,2023,122261047,62446828,55771179,4043040,378769,106150,-113
12,동작구,2024,127517515,65399210,57208566,4909739,375799,106362,212
13,마포구,2021,148131112,56944960,78992624,12193528,368905,119380,1069
13,마포구,2022,169324041,64510577,91948749,12864715,364638,121250,1870
